Sports,Year,Number
Modern Pentathlon,1992,2
Rowing,1992,14
Rugby Sevens,1992,0
Sailing,1992,10
Shooting,1992,13
Skateboarding,1992,0
Sport Climbing,1992,0
Surfing,1992,0
Table Tennis,1992,4
Taekwondo,1992,0
Tennis,1992,4
Triathlon,1992,0
Weightlifting,1992,10
Aquatics,1996,38
Basketball,1996,2
Canoeing,1996,16
Cycling,1996,14
Gymnastics,1996,16
Vollyball,1996,4
Equestrian,1996,6
Wrestling,1996,20
Archery,1996,4
Athletics,1996,44
Badminton,1996,5
Boxing,1996,12
Breaking,1996,0
Fencing,1996,10
Field hockey,1996,2
Football,1996,2
Golf,1996,0
Handball,1996,2
Judo,1996,14
Modern Pentathlon,1996,1
Rowing,1996,14
Rugby Sevens,1996,0
Sailing,1996,10
Shooting,1996,15
Skateboarding,1996,0
Sport Climbing,1996,0
Surfing,1996,0
Table Tennis,1996,4
Taekwondo,1996,0
Tennis,1996,4
Triathlon,1996,0
Weightlifting,1996,10
Aquatics,2000,44
Basketball,2000,2
Canoeing,2000,16
Cycling,2000,18
Gymnastics,2000,18
Vollyball,2000,4
Equestrian,2000,6
Wrestling,2000,16
Archery,2000,4
Athletics,2000,46
Badminton,2000,5
Boxing,2000,12
Breaking,2000,0
Fencing,2000,10
Field hockey,2000,2
Football,2000,2
Golf,2000,0
Handball,2000,2
Judo,2000,14
Modern Pentathlon,2000,2
Rowing,2000,14
Rugby Sevens,2000,0
Sailing,2000,11
Shooting,2000,17
Skateboarding,2000,0
Sport Climbing,2000,0
Surfing,2000,0
Table Tennis,2000,4
Taekwondo,2000,8
Tennis,2000,4
Triathlon,2000,2
Weightlifting,2000,15
Aquatics,2004,44
Basketball,2004,2
Canoeing,2004,16
Cycling,2004,18
Gymnastics,2004,18
Vollyball,2004,4
Equestrian,2004,6
Wrestling,2004,18
Archery,2004,4
Athletics,2004,46
Badminton,2004,5
Boxing,2004,11
Breaking,2004,0
Fencing,2004,10
Field hockey,2004,2
Football,2004,2
Golf,2004,0
Handball,2004,2
Judo,2004,14
Modern Pentathlon,2004,2
Rowing,2004,14
Rugby Sevens,2004,0
Sailing,2004,11
Shooting,2004,17
Skateboarding,2004,0
Sport Climbing,2004,0
Surfing,2004,0
Table Tennis,2004,4
Taekwondo,2004,8
Tennis,2004,4
Triathlon,2004,2
Weightlifting,2004,15
Aquatics,2008,46
Basketball,2008,2
Canoeing,2008,16
Cycling,2008,18
Gymnastics,2008,18
Vollyball,2008,4
Equestrian,2008,6
Wrestling,2008,18
Archery,2008,4
Athletics,2008,47
Badminton,2008,5
Boxing,2008,11
Breaking,2008,0
Fencing,2008,10
Field hockey,2008,2
Football,2008,2
Golf,2008,0
Handball,2008,2
Judo,2008,14
Modern Pentathlon,2008,2
Rowing,2008,14
Rugby Sevens,2008,0
Sailing,2008,11
Shooting,2008,15
Skateboarding,2008,0
Sport Climbing,2008,0
Surfing,2008,0
Table Tennis,2008,4
Taekwondo,2008,8
Tennis,2008,4
Triathlon,2008,2
Weightlifting,2008,15
Aquatics,2012,46
Basketball,2012,2
Canoeing,2012,16
Cycling,2012,18
Gymnastics,2012,18
Vollyball,2012,4
Equestrian,2012,6
Wrestling,2012,18
Archery,2012,4
Athletics,2012,47
Badminton,2012,5
Boxing,2012,13
Breaking,2012,0
Fencing,2012,10
Field hockey,2012,2
Football,2012,2
Golf,2012,0
Handball,2012,2
Judo,2012,14
Modern Pentathlon,2012,2
Rowing,2012,14
Rugby Sevens,2012,0
Sailing,2012,10
Shooting,2012,15
Skateboarding,2012,0
Sport Climbing,2012,0
Surfing,2012,0
Table Tennis,2012,4
Taekwondo,2012,8
Tennis,2012,5
Triathlon,2012,2
Weightlifting,2012,15
Aquatics,2016,46
Basketball,2016,2
Canoeing,2016,16
Cycling,2016,18
Gymnastics,2016,18
Vollyball,2016,4
Equestrian,2016,6
Wrestling,2016,18
Archery,2016,4
Athletics,2016,47
Badminton,2016,5
Boxing,2016,13
Breaking,2016,0
Fencing,2016,10
Field hockey,2016,2
Football,2016,2
Golf,2016,2
Handball,2016,2
Judo,2016,14
Modern Pentathlon,2016,2
Rowing,2016,14
Rugby Sevens,2016,2
Sailing,2016,10
Shooting,2016,15
Skateboarding,2016,0
Sport Climbing,2016,0
Surfing,2016,0
Table Tennis,2016,4
Taekwondo,2016,8
Tennis,2016,5
Triathlon,2016,2
Weightlifting,2016,15
Aquatics,2020,49
Basketball,2020,4
Canoeing,2020,16
Cycling,2020,22
Gymnastics,2020,18
Vollyball,2020,4
Equestrian,2020,6
Wrestling,2020,18
Archery,2020,5
Athletics,2020,48
Badminton,2020,5
Boxing,2020,13
Breaking,2020,0
Fencing,2020,12
Field hockey,2020,2
Football,2020,2
Golf,2020,2
Handball,2020,2
Judo,2020,15
Modern Pentathlon,2020,2
Rowing,2020,14
Rugby Sevens,2020,2
Sailing,2020,10
Shooting,2020,15
Skateboarding,2020,4
Sport Climbing,2020,2
Surfing,2020,2
Table Tennis,2020,5
Taekwondo,2020,8
Tennis,2020,5
Triathlon,2020,3
Weightlifting,2020,14
Aquatics,2024,49
Basketball,2024,4
Canoeing,2024,16
Cycling,2024,22
Gymnastics,2024,18
Vollyball,2024,4
Equestrian,2024,6
Wrestling,2024,18
Archery,2024,5
Athletics,2024,48
Badminton,2024,5
Boxing,2024,13
Breaking,2024,2
Fencing,2024,12
Field hockey,2024,2
Football,2024,2
Golf,2024,2
Handball,2024,2
Judo,2024,15
Modern Pentathlon,2024,2
Rowing,2024,14
Rugby Sevens,2024,2
Sailing,2024,10
Shooting,2024,15
Skateboarding,2024,4
Sport Climbing,2024,4
Surfing,2024,2
Table Tennis,2024,5
Taekwondo,2024,8
Tennis,2024,5
Triathlon,2024,3
Weightlifting,2024,10
